Подпись;E;Эксперимент(t2)Теория(t3);Эксперимент(t3)Теория(t2);Номер графика;Параметры
Зависимость t2(E) для альфа-частицы;20;2.12572386666667;2.13956030555134;1;L = 3, alpha = 50, s = 1000000 км
Зависимость t2(E) для альфа-частицы;40;1.5157688;1.51898568598707;1;L = 3, alpha = 50, s = 1000000 км
Зависимость t2(E) для альфа-частицы;50;1.36287253333333;1.36134020773981;1;L = 3, alpha = 50, s = 1000000 км
Зависимость t2(E) для альфа-частицы;70;1.15123426666667;1.15512922539232;1;L = 3, alpha = 50, s = 1000000 км
Зависимость t3(E) для альфа-частицы;20;0.896484101899061;2.58401663949581;2;L = 3, alpha = 50, s = 1000000 км
Зависимость t3(E) для альфа-частицы;40;0.449321743606742;1.81187079639626;2;L = 3, alpha = 50, s = 1000000 км
Зависимость t3(E) для альфа-частицы;50;0.359897758644613;1.97193249395074;2;L = 3, alpha = 50, s = 1000000 км
Зависимость t3(E) для альфа-частицы;70;0.257708283404623;2.6703312212389;2;L = 3, alpha = 50, s = 1000000 км
Зависимость t2(L) для альфа-частицы;2;6.31854;6.35449681739489;3;E = 1 МэВ, alpha = 50, s = 1000000 км
Зависимость t2(L) для альфа-частицы;3;9.602445226;9.53174522609233;3;E = 1 МэВ, alpha = 50, s = 1000000 км
Зависимость t2(L) для альфа-частицы;4;12.6461963636364;12.7089936347898;3;E = 1 МэВ, alpha = 50, s = 1000000 км
Зависимость t2(L) для альфа-частицы;5;15.7612022222222;15.8862420434872;3;E = 1 МэВ, alpha = 50, s = 1000000 км
Зависимость t3(L) для альфа-частицы;2;26.8460543036447;71.7616532780074;4;E = 1 МэВ, alpha = 50, s = 1000000 км
Зависимость t3(L) для альфа-частицы;3;17.8882439839734;48.78543563;4;E = 1 МэВ, alpha = 50, s = 1000000 км
Зависимость t3(L) для альфа-частицы;4;13.4192133989883;35.8777671167412;4;E = 1 МэВ, alpha = 50, s = 1000000 км
Зависимость t3(L) для альфа-частицы;5;10.733253998116;28.693619895577;4;E = 1 МэВ, alpha = 50, s = 1000000 км
Зависимость t2(alpha) для альфа-частицы;20;12.0866566666667;12.1498810520082;5;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для альфа-частицы;30;11.0619323076923;11.1745561968641;5;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для альфа-частицы;40;10.1909107692308;10.2929239668038;5;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для альфа-частицы;50;9.471024;9.53174522609233;5;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для альфа-частицы;60;8.91421;8.91412462116505;5;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для альфа-частицы;70;8.50499529411765;8.45880926744278;5;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для альфа-частицы;80;8.1968894117647;8.17961970365273;5;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для альфа-частицы;20;17.1130752775878;55.0722129594978;6;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для альфа-частицы;30;17.2352274947892;52.1238681957652;6;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для альфа-частицы;40;17.6085227968874;49.7599379525169;6;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для альфа-частицы;50;17.8806320976561;47.8454158613074;6;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для альфа-частицы;60;18.077104944663;46.3407762065323;6;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для альфа-частицы;70;18.2097822195375;45.2304768695114;6;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для альфа-частицы;80;18.2853551064716;44.5562588421324;6;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(E) для электрона;20;0.236007742857143;0.239331411750469;7;L = 3, alpha = 40, s = 1000000 km
Зависимость t2(E) для электрона;30;0.236042385714286;0.239290688614144;7;L = 3, alpha = 40, s = 1000000 km
Зависимость t2(E) для электрона;40;0.236056085714286;0.239276162348601;7;L = 3, alpha = 40, s = 1000000 km
Зависимость t2(E) для электрона;50;0.236138042857143;0.23926937046293;7;L = 3, alpha = 40, s = 1000000 km
Зависимость t2(E) для электрона;60;0.236138042857143;0.23926937046293;7;L = 3, alpha = 40, s = 1000000 km
Зависимость t2(E) для электрона;70;0.235825457142857;0.239263409234393;7;L = 3, alpha = 40, s = 1000000 km
Зависимость t2(E) для электрона;80;0.235926185714286;0.23926194529552;7;L = 3, alpha = 40, s = 1000000 km
Зависимость t3(E) для электрона;20;1.71795200627248;2.6088959088474;8;L = 3, alpha = 40, s = 1000000 km
Зависимость t3(E) для электрона;30;1.1548700857084;1.75312781646051;8;L = 3, alpha = 40, s = 1000000 km
Зависимость t3(E) для электрона;40;0.869643555662435;1.31995738872818;8;L = 3, alpha = 40, s = 1000000 km
Зависимость t3(E) для электрона;50;0.697399093752348;1.05888911766206;8;L = 3, alpha = 40, s = 1000000 km
Зависимость t3(E) для электрона;60;0.582100149194552;0.883841354335974;8;L = 3, alpha = 40, s = 1000000 km
Зависимость t3(E) для электрона;70;0.499511968663371;0.758342289068547;8;L = 3, alpha = 40, s = 1000000 km
Зависимость t3(E) для электрона;80;0.437443012590593;0.664232962851074;8;L = 3, alpha = 40, s = 1000000 km
Зависимость t2(L) для электрона;2;0.15730939047619;0.159507963530347;9;E = 80 МэВ, alpha = 40, s = 1000000 км
Зависимость t2(L) для электрона;3;0.235926185714286;0.23926194529552;9;E = 80 МэВ, alpha = 40, s = 1000000 км
Зависимость t2(L) для электрона;4;0.31152252;0.319015927060694;9;E = 80 МэВ, alpha = 40, s = 1000000 км
Зависимость t2(L) для электрона;5;0.394187975;0.398769908825867;9;E = 80 МэВ, alpha = 40, s = 1000000 км
Зависимость t3(L) для электрона;2;0.656066844820448;0.996369316646897;10;E = 80 МэВ, alpha = 40, s = 1000000 км
Зависимость t3(L) для электрона;3;0.437443012590593;0.664232962851074;10;E = 80 МэВ, alpha = 40, s = 1000000 км
Зависимость t3(L) для электрона;4;0.327991389;0.332681052;10;E = 80 МэВ, alpha = 40, s = 1000000 км
Зависимость t3(L) для электрона;5;0.262316132;0.260567832;10;E = 80 МэВ, alpha = 40, s = 1000000 км
Зависимость t2(alpha) для электрона;20;0.297415583333334;0.300104171275037;11;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t2(alpha) для электрона;30;0.272026323076924;0.276013478030875;11;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t2(alpha) для электрона;40;0.250677985714286;0.254237008891873;11;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t2(alpha) для электрона;50;0.233135653333334;0.235435761851218;11;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t2(alpha) для электрона;60;0.219304225;0.220180425686963;11;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t2(alpha) для электрона;70;0.209382411764706;0.208934057404614;11;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t2(alpha) для электрона;80;0.20351914117647;0.202038026710058;11;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t3(alpha) для электрона;20;25.5729780029449;43.8946651953154;12;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t3(alpha) для электрона;30;25.7594402065155;41.8385696712145;12;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t3(alpha) для электрона;40;26.326247530199;39.9721869430918;12;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t3(alpha) для электрона;50;26.745922452027;38.4172088039666;12;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t3(alpha) для электрона;60;27.0476416340989;37.1673577128111;12;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t3(alpha) для электрона;70;27.2481316805807;36.3135626023262;12;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t3(alpha) для электрона;80;27.3629190984965;35.7691305506873;12;E = 1 МэВ, L = 30, s = 1000000 км
Зависимость t2(E) для протона;20;3.16985336363636;3.20140588896234;13;L = 2, alpha = 50, s = 1000000 км
Зависимость t2(E) для протона;30;2.24321790909091;2.26554318692366;13;L = 2, alpha = 50, s = 1000000 км
Зависимость t2(E) для протона;40;1.20338718181818;1.2158077629257;13;L = 2, alpha = 50, s = 1000000 км
Зависимость t2(E) для протона;50;1.00872490909091;1.01963509865297;13;L = 2, alpha = 50, s = 1000000 км
Зависимость t2(E) для протона;60;0.889677181818182;0.896396485965554;13;L = 2, alpha = 50, s = 1000000 км
Зависимость t2(E) для протона;70;0.458257636363637;0.461835477311628;13;L = 2, alpha = 50, s = 1000000 км
Зависимость t2(E) для протона;80;0.391911754545454;0.395905093789957;13;L = 2, alpha = 50, s = 1000000 км
Зависимость t3(E) для протона;20;26.7520080647;56.3288389776;14;L = 2, alpha = 50, s = 1000000 км
Зависимость t3(E) для протона;30;13.435094797414;19.3015141804221;14;L = 2, alpha = 50, s = 1000000 км
Зависимость t3(E) для протона;40;3.84834160991618;5.52874729635509;14;L = 2, alpha = 50, s = 1000000 км
Зависимость t3(E) для протона;50;2.69796883929988;3.87628424614041;14;L = 2, alpha = 50, s = 1000000 км
Зависимость t3(E) для протона;60;2.07854115231603;2.98743051259107;14;L = 2, alpha = 50, s = 1000000 км
Зависимость t3(E) для протона;70;0.529842001514006;0.761553602401732;14;L = 2, alpha = 50, s = 1000000 км
Зависимость t3(E) для протона;80;0.381241135926425;0.631219546113931;14;L = 2, alpha = 50, s = 1000000 км
Зависимость t2(L) для протона;2;3.16985336363636;3.20140588896234;15;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(L) для протона;3;4.75831333333333;4.80210883344351;15;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(L) для протона;4;6.33376727272727;6.40281177792468;15;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(L) для протона;5;7.93088888888889;8.00351472240586;15;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(L) для протона;2;26.8569270994006;38.5862905767351;16;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(L) для протона;3;17.9025849201838;25.7301597788996;16;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(L) для протона;4;13.424872343964;19.2872326370519;16;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(L) для протона;5;10.737867308974;15.4242858249486;16;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для протона;20;6.06681333333333;6.12112994432772;17;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для протона;30;5.55048769230769;5.62975968722687;17;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для протона;40;5.10626;5.18559192787137;17;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для протона;50;4.75831333333333;4.80210883344351;17;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для протона;60;4.47267125;4.49095056260354;17;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для протона;70;4.27233882352941;4.26156194276015;17;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t2(alpha) для протона;80;4.15775882352941;4.12090578392668;17;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для протона;20;17.1340171803092;29.6082845958726;18;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для протона;30;17.2509013079531;28.0337669395055;18;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для протона;40;17.6158064652465;26.7553049706653;18;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для протона;50;17.8880012497938;25.7301597788996;18;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для протона;60;18.0844767567799;24.920818532818;18;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для протона;70;18.2171166473673;24.3220718316946;18;E = 1 МэВ, L = 3, s = 1000000 км
Зависимость t3(alpha) для протона;80;18.2926511042317;23.9651475511535;18;E = 1 МэВ, L = 3, s = 1000000 км
